"country_code","country","unit_code","unit","financing_code","financing_scheme","year","value"
"GBR","United Kingdom","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2025,2.128
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,8.86
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,8.77
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,8.783
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,8.799
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,8.987
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,9.524
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,10.111
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,10.066
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,9.159
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,8.84
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,8.658
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2015,10.538
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2016,10.436
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2017,10.429
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2018,10.504
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2019,10.703
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2020,11.157
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2021,11.708
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2022,11.691
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2023,10.754
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2024,10.3
"JPN","Japan","PT_B1GQ","Percentage of GDP","_T","Total",2025,10.095
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2015,1.677
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2016,1.666
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2017,1.646
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2018,1.705
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2019,1.716
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2020,1.633
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2021,1.596
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2022,1.625
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2023,1.595
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2024,1.46
